epoch,accuracy,loss
0,0.78242856,0.6894593757674807
1,0.9428809,0.18592861255151885
2,0.9602619,0.12630301319985163
3,0.9689762,0.09853734587629637
4,0.9746905,0.08292732382317385
5,0.97742856,0.07220177235064053
6,0.9790952,0.06501720823241132
7,0.9812143,0.058935684743381685
8,0.9835714,0.0530941668019763
9,0.98490477,0.04876163939457564
